微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iwkq5cDV0,【近2000箱桂花鸭到黄石！】2月25日，南京桂花鸭集团捐赠的近2000箱“桂花鸭”礼盒，经过800多公里路程，抵达黄石。礼盒里除了鸭翅、鸭掌、鸭脖等鸭制品小零食，还有整只桂花鸭这批爱心物资将转拨到黄石防控疫情一线医院、集中隔离点及各县（市）区疫情防控指挥部等单位。直播南京官方版的微博视频  ,,无,无,无,2020-02-28 21:09,微博视频号,432,43,109
IwjXrhexj,15款自制超美味甜品！吃货不容错过！多种简单易上手的甜品美食，🐴好了，在家一起来做甜品大师！  [组图共15张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62ly1gccd4xunutj20n02amgwe.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccd508t47j20n01zwgvu.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gccd51tw1hj20n01suk1b.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gccd52mjvrj20n01zs49b.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gccd556r4wj20n01lngv5.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gccd4vz7nfj20n01fbaj0.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gccd57vad6j20n01pok1r.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gccd5axhc4j20n01t4k2o.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gccd5bs0x0j20n01ii7fq.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccd5e93emj20n01mn118.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gccd5f6y1nj20n01u6qc4.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccd5gfeyhj20n01nygvj.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gccd5h26afj20n01ou48h.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccd5hy90hj20n022d490.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gccd5jf9fhj20n01v9tjh.jpg",无,无,2020-02-28 19:58,无,119,105,14
Iwj6eFHDf,【重磅！南京人才落户新政延长一年】刚刚，南京市公安局发布消息，南京人才落户新政延长一年，3月1日起施行，有效期1年。细则详戳http://t.cn/A67GnhuA 重磅！南京人才落户新政延长一年  ,,无,无,无,2020-02-28 17:47,微博 weibo.com,612,71,162
IwiWu5GHh,截至目前，据不完全统计，江苏向湖北黄石集中捐赠疫情防控资金和物资，累计已达8000余万元。“蛋黄苏”一起加油！  原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62gy1gcc8o0omgcj20xk0lo4qq.jpg,无,无,2020-02-28 17:23,微博 weibo.com,161,21,11
Iwip51F9i,实用！教你怎么用微信发送大文件视频并且还可以保留原有画质！当时我就震惊了的微博视频  ,,无,无,无,2020-02-28 16:01,微博视频号,135,126,28
IwhTlmec6,【#夺取双胜利 我们在行动# | 蹄疾步稳 迈进复工复产的“春天里”】时不我待，随着全国各地 陆续进入“复工进行时”，江苏也在持续发力。江苏企业复工情况全国领先，政企同心、多方努 力，蹄疾步稳推进经济发展，迈入复工复产的春天里。今天，我们聚焦常州、泰州和淮安的复工 情况，一起来看→ http://t.cn/A67GhCAB 原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gcc414n0ppj20hs0vk0wx.jpg,无,无,2020-02-28 14:42,无,27,5,21
IwhuVfV80,武昌方舱医院美少女战士变身！！！（出镜的美少女来自广西医疗队） 纯良英俊的笑了笑的微博视频  ,,无,无,无,2020-02-28 13:42,微博视频号,216,30,25
Iwh3XkF65,【#南京早樱开了#】前天，一场雨后，南京和平公园的樱花一夜盛开，“初美人”又名“椿寒樱”，是一种早樱。这个时候，一起看看视频“云赏樱”吧新华网的秒拍视频  ,,无,无,无,2020-02-28 12:36,微博视频号,108,27,18
IwgyioYOe,【现实版奇幻漂流记！】2月24日上午，南京江宁九龙湖湖心岛上传来呼救声，民警接到报警后赶到现场救援。原来，呼救的是一名年轻男子，11月份来南京打工一直没回老家。2月22日下午在九龙湖边散步拍照时不小心落水，他吐了两口水，又喝了两口水，发现自己竟然浮了起来……于是，不会游泳的他开始了为期两天的“漂流”之旅……民警提示：湖边散步、拍照要小心，如遇危险切不可因为“不好意思”而放弃呼救http://t.cn/A67bzWLa ,,无,无,无,2020-02-28 11:18,微博视频号,177,39,74
IwgiHe7rR,【最美展位评选来啦！】春已至，花已开，“线上梅花节”等你投票。即日起，小伙伴们可登陆钟山风景区网站及微信订阅号，参与“线上梅花节”相关活动。来自全国包括武汉东湖梅园在内的33个梅花蜡梅展室外展位的美景，都将在网上集中展示。快快评出心目中的最美展位吧！  [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62ly1gcbx09np4yj20hs0cgq4v.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gcbx08zk52j20hs0uwgou.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gcbx0byhe6j20hs0tktcd.jpg",无,无,2020-02-28 10:39,无,28,8,4
IwfNgqoMN,2月27日南京市无新增确诊病例 2月27日南京市无新增确诊病例  ,,无,无,无,2020-02-28 09:22,微博 weibo.com,542,82,139
IwfctwyAZ,市人大常委会通过一批人事任免，常和平任南京市副市长 市人大常委会通过一批人事任免，常和平任南京市副市长  ,,无,无,无,2020-02-28 07:51,微博 weibo.com,174,19,39
Iwf6k6bch,【转发提醒！要绷紧防控这根弦！】北京的聚集性疫情，引发传播的一大原因就是没有严格执行隔离措施。现在整个形势还处于胶着对垒状态，新冠病毒本来就很狡猾，不论是加强防控还是自我防护，方方面面绝不能手滑。防控这根弦一定要绷紧，不能有弹性，只有这样才能防止疫情反弹。 央视新闻的微博视频  ,,无,无,无,2020-02-28 07:36,微博视频号,76,33,11
IwaXYbeZq,【#全国人民超长假期缩影#】这个超长假期，有人上网课，有人居家办公，还有憋疯哭天喊地的萌娃们与此同时，大街小巷里还穿梭着一群“口罩侠”：外卖骑手、超市员工、环卫工人、蔬菜摊老板……他们用自己的方式守护着我们的家园。此时的经历也许有些糟，但我仍还世界以勇气和微笑http://t.cn/A67A3ALr ,,无,无,无,2020-02-27 21:05,微博视频号,84,31,12
Iw9NPiPHh,【南京住房公积金阶段性支持政策来了！】刚刚，南京住房公积金管理中心发布通知，①受疫情影响，企业可降低缴存比例；②企业可申请在6月30日前缓缴住房公积金；③因疫情影响收入的无房职工可申请提高2020年2月至6月的租房提取额度，单身职工每月可提高300元，已婚职工夫妻双方每月可提高600元。详戳↓ http://t.cn/A67yc3IT ,,无,无,无,2020-02-27 18:07,微博 weibo.com,151,69,80
Iw9rjovmY,【安排！#玄武湖景区请前线医护坐鸭子船#】最近，南京鼓楼医院支援武汉的医护人员，在防护服贴上玄武湖、中山陵等南京地标景点。听到医护人员的心声，@南京市玄武湖 立刻安排上了：所有勇士，回来免费请你们坐鸭子船！盼望前线勇士早日凯旋。视频来源：@荔直播 荔直播的秒拍视频  ,,无,无,无,2020-02-27 17:11,微博视频号,153,42,33
Iw926fgl4,【《南京市生活垃圾管理条例》进入一审】今天，南京市十六届人大常委会第二十一次会议首次审议《南京市生活垃圾管理条例(草案)》，这意味着南京垃圾分类管理条例正式进入立法程序。根据安排，条例将在提请市人大常委会二审通过后，报省人大常委会批准后，预计在下半年正式实施。（摄影：杜悦嘉）  原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62gy1gcb0wvuydij21400u0x6p.jpg,无,无,2020-02-27 16:09,微博 weibo.com,258,58,60
Iw8KV1h55,【#农民工为防疫工作者送水饺#】2月26日，南京市栖霞区某小区，一位男子为小区物业工作人员送来水饺。他说，疫情期间看到物业保安、环卫工人都很辛苦，想为大家做点事情。工作人员追问他的名字，他却只留下一句：我是农民工，我是中国人！@937江苏新闻广播 937江苏新闻广播的微博视频  ,,无,无,无,2020-02-27 15:27,微博视频号,126,15,17
Iw8kEuLTn,【今天开始，南京小红山客运站恢复运转！复班淮安、泰兴两条班线】 为进一步满足广大旅客的出行需求，自2月27日起，南京小红山客运站（南京汽车客运站）开始恢复部分班线运行，先期复班的客运南站也将新增恢复多条班线。  [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62ly1gcaxtsnej4j21400u00vo.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gcaxtt44jcj21400u0tcf.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gcaxts6i24j21400u00x2.jpg",无,无,2020-02-27 14:22,无,63,23,34
