微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
ICRuN5KHZ,【灵魂画手！#南京医学生教科书级笔记#】@南京医科大学 “云教学”已近2个月，学霸们的笔记里除了有工整的文字，还画上了如打印一般的人体内部结构示意图…网友：堪比教科书！我的笔记只有自己看得懂…龙虎网的秒拍视频   ,,无,无,无,2020-04-11 20:23,微博视频号,100,425,40
ICR6WadW2,【国家卫健委：#个别省份又出现聚集性病例#】国家卫健委新闻发言人米锋介绍，近几日，个别省份又出现聚集性病例，提示要始终做好个人防护，不扎堆少聚集。#民民小调查# 最近你有发现哪儿人多？转发提醒：再忍一忍！不串门、不扎堆、不聚会！ 最近你有发现哪儿人多？  ,,无,无,无,2020-04-11 19:24,无,1920,19,51
ICQ6Vctce,【隔着屏幕云赏花！#南京千亩牡丹盛开#，游客花海打卡纪念】近日，南京六合竹镇牡丹园1000多亩的牡丹初开，在阳光下的照耀下，花瓣晶莹透明，分外娇嫩，不少游客前往赏花踏青。园区负责人介绍，牡丹花花瓣花蕊可以做茶、做牡丹花饼，牡丹籽可以做胶囊，牡丹还能做酒产油。@一手Video http://t.cn/A6wAkshd ,,无,无,无,2020-04-11 16:51,微博视频号,78,16,14
ICPCnFsNh,【超常规！不寻常！南京启动“四新”行动 ，试行2.5天休息制度】今天，南京市战疫情扩内需稳增长“四新”行动动员发布会召开，正式发布新基建、新消费、新产业、新都市四大行动计划。其中提出：试行每周2.5天休息制度。鼓励各类企业在满足生产经营需要前提下，合理安排工作时间，灵活试行每周增加0.5天休息，支持有条件的事业单位适时试行每周2.5天休息制度。#南京试行2.5天休息制度#  [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62ly1gdpv7v9zykj20ku2e6kgc.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gdpv7x3w6qj20ku2hi1i8.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gdpv7ygjehj20ku1q8h33.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gdpv81ihj5j20ld4fzkjl.jpg",无,无,2020-04-11 15:36,无,339,110,158
ICORIw38I,#泼花成画有多美#果然生活还是需要发现美的眼睛 冷笑话精选的微博视频  ,,无,无,无,2020-04-11 13:41,微博视频号,271,46,52
ICOpNdhQH,【投票：你支持疫情期间餐饮品牌涨价吗？】继海底捞之后，#西贝就涨价道歉# 西贝董事长贾国龙今天表示，西贝这个时候涨价不对。从今天开始，所有涨价的外卖、堂食菜品价格恢复到2020年1月26日门店停业前的标准。 你支持疫情期间餐饮品牌涨价吗？  ,,无,无,无,2020-04-11 12:32,微博 weibo.com,3152,21,77
ICO1E1mAq,【最新发现！#迄今银河系自转最快恒星#】中国科学院国家天文台研究团队基于郭守敬望远镜数据，发现一颗迄今银河系自转速度最快的恒星，其自转速度约为540千米/秒，比目前银河系中自转速度第二快的恒星约快100千米/秒。#中国天文学家发现迄今银河系自转最快恒星#人民日报的微博视频 ,,无,无,无,2020-04-11 11:33,微博视频号,47,6,10
ICNIGccKG,【有时，一个拥抱就足够了】近日凌晨，一名女孩因为失恋情绪低落，独自喝酒后一个人坐在路边哭泣。恰在此时，一辆巡逻警车路过，车里的警察蜀黍发现了女孩，下车后扶起女孩，耐心劝解，此时女孩突然询问：“小哥哥，能给我一个拥抱吗？”蜀黍虽然觉得有点突然，但还是给了女孩一个拥抱。总有一些不期而遇的温暖，触动内心柔软的部分，成为坚持下去的理由。 http://t.cn/A6wLps2D ,,无,无,无,2020-04-11 10:46,微博视频号,224,10,23
ICNcijr94,清凉寺的春天～  摄：清风  #最南京，全民拍#  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62gy1gdpkj7l6isj20u019w7n5.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdpkj8cjdnj20u01b0k49.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdpkj91eijj20u01ao46w.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdpkj9nu4bj20u01b6175.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdpkj6xctjj20u01a8k8e.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdpkja5nvmj20u0190jzr.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdpkjapah1j20u01aq7cp.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdpkjbfzxpj20u01auk5s.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdpkj5dhb7j20u01baqbf.jpg",无,无,2020-04-11 09:26,无,181,36,28
ICMzQ0CTA,南京的公交，清新的“城市蓝”。摄：@CAI_采  #最南京，全民拍#   [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62gy1gdphsmedfzj21900u07ci.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdphsmz5ntj21900u0n3q.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdphsogejlj21900u0gsg.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdphsoypbfj21900u0gtv.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdphsny0sqj21900u0dmc.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdphslukyqj21900u0444.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdphspgvajj21900u07ak.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdphsq09iqj218y0u0ajl.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdphsqi5b4j21900u0qbm.jpg",无,无,2020-04-11 07:51,无,376,19,78
ICIGFy3aZ,【开往春天的列车】和平友好樱花园旁，樱花与火车的相遇，好像动画里的场景！摄影：@非常lisa1912 #最南京，全民拍#  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62gy1gdp0l8tj06j21330u0afs.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdp0l9dq9ij20u01jvh5w.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdp0l9uhu8j21900u0wo7.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdp0lacblsj21900u0qap.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdp0lawg1zj214u0u015r.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdp0l7vnm2j20u01fytlg.jpg",无,无,2020-04-10 21:57,无,88,8,6
ICId2qiR4,【不要怕！我会尽我最大努力帮助你！】4月5日凌晨，栖霞区一位六旬独居老人突发脑梗却联系不上家人，面对老人无助的声音，民警对老人说：“我会尽我最大努力帮助你，你不要急！”看似简单却温柔坚定的语言给老人带来了强大的精神支撑。民警立即把老人送医院，路上不停安慰：“你不要怕，只要你安全就行！”最终，老人的家人也赶到医院。 http://t.cn/A6wwTwLE ,,无,无,无,2020-04-10 20:44,微博视频号,174,9,27
ICHOUF3ip,"【南京将抽取240户家庭免费测甲醛！】即日起到4月15日，南京住宅空气质量免费检测首期报名开始，市城区范围内新装修完毕、未入住、完工时间不超过一年的家庭住宅，可在""南京市场监管""微信号报名参加。首批抽取80户家庭，之后还将有2轮抽取，全年总计240户。 小调查：新房装修完多久你才会入住？  ",,无,无,无,2020-04-10 19:45,无,985,10,30
ICHodCmk0,还真有“ 亖 ”这个字！而且，它就念四。。没错，就是四！一二三亖的亖，你的手机能打出“亖”吗？  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62ly1gdouw9wpgsj207907d0so.jpg,无,无,2020-04-10 18:39,无,96,27,338
ICGZEElWl,【这本《南京传》，送给可爱的人】今年初，他们逆行湖北；如今，他们平安归来！今天，市文联向南京市级援鄂医务人员赠送著名作家叶兆言亲笔签名的《南京传》，这本南京传记处处可见作者对这座城市倾注的感情，引发南京人的情怀和共鸣。市文联以此为礼，相赠归宁的英雄，向白衣战士们致敬！  [组图共5张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62gy1gdot1l8j0aj212r0u0aqy.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdot1m99gqj21an0u0kjl.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdot1la1shj219i0u0kc1.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdot1l5jtxj215t0u0ayt.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gdoto8d7xxj20u015yn1q.jpg",无,无,2020-04-10 17:39,微博 weibo.com,87,18,18
ICGBNom7g,"【春眠不觉晓，你还在“犯困”吗？】春眠不觉晓，处处要昏倒 春困不是病，困起来要命 即使每天睡的再多，早上醒来依然觉得”睡不饱”，而且一整天都感到疲惫。你受到""春困”的侵扰了吗？如何缓解春困？↓↓↓  原图 ",,http://wx3.sinaimg.cn/large/7cfe0d62gy1gdorg43iwkj20j63co4c4.jpg,无,无,2020-04-10 16:40,微博 weibo.com,17,9,5
ICGeS5cyx,"【最新规划来了！紫东地区核心区揭秘】据@南京规划资源 紫东地区核心区城市设计方案定了！将由中国工程院院士、@东南大学 教授王建国及团队承担。紫东地区核心区定位为""山水紫东宜居境，创新名城智汇地""，规划形成""一脉一带两心三环三版块""的空间结构，着力打造宁镇扬同城化发展的区域""HUB""。#南京新闻发布# http://t.cn/A6wAblwl ",,无,无,无,2020-04-10 15:43,微博 weibo.com,281,37,72
ICFUDqXfE,【国家发改委：#酒店一次性塑料用品等拟被禁止使用#】4月10日，国家发展改革委会就《禁止、限制生产、销售和使用的塑料制品目录（征求意见稿）》向社会公开征求意见。其中快递塑料包装中不可降解塑料包装袋等，宾馆、酒店一次性塑料用品等被列入禁止、限制使用名单。你怎么看？http://t.cn/A6ww9C3O ,,无,无,无,2020-04-10 14:53,微博视频号,74,7,23
ICFAYvJCi,【可可爱爱！#企鹅打卡武汉地标#】#重企之日鹅想见你#，4月8日，武汉解封当天，两只小企鹅打卡武汉知名地标。它们来自武汉海昌极地海洋公园，在驯养师的陪同下，通过提前预约，来到黄鹤楼、长江大桥、江汉关、省博物馆等地标。@新京报我们视频 新京报我们视频的秒拍视频  ,,无,无,无,2020-04-10 14:05,微博视频号,96,13,20
ICFdfza3G,某地小学开学了，实行“错峰吃饭”的方式，这画面也太残忍了。。。 来源：摄影师痞子东 摄影师痞子东的微博视频  ,,无,无,无,2020-04-10 13:07,微博视频号,875,71,189
ICEM6cwNa,【关于性侵，你必须知道的10个法律问题】性侵有85%是熟人作案 ，女孩子需提高警惕，保护好自己！@中国警方在线 中国警方在线的微博视频  ,,无,无,无,2020-04-10 12:00,微博视频号,585,90,127
ICEly0Pcb,【重磅！江苏省事业单位公开招聘人员实施新办法】江苏省人民政府今天举行新闻发布会，新《江苏省事业单位公开招聘人员办法》正式实施！共8章45条，不再统一硬性要求笔试成绩不低于30%，急需引进的高层次人才、紧缺专业人才可直接考察招聘……↓↓@江苏人社 一图带你看！  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62gy1gdohfe6efhg20hs4msgyz.gif,无,无,2020-04-10 10:54,微博 weibo.com,417,31,56
ICE4NDgrB,【科技感满满！#智能公厕亮相南京#：智能屏幕、新风系统、母婴室一应俱全】近日，南京火车站南广场的西侧建起一座科技感满满的新型公厕。除了厕位多、增设母婴室和新风系统，公厕还配备智慧厕所引导系统，可实时看到厕位使用情况和空气数据。游客：干净、舒适，还比较清新。JSTV荔枝视频的秒拍视频  ,,无,无,无,2020-04-10 10:13,微博视频号,96,492,44
ICDGxfUwy,【南京学校第三批次返校复学时间公布】经市委市政府同意，我市普通中学高一年级4月13日返校复学。其他学段年级后续返校复学安排，将根据我市疫情防控总体形势，经市委市政府和市联防联控工作指挥部批准后提前向社会发布。  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62ly1gdoejhrkzij20nx0d53z2.jpg,无,无,2020-04-10 09:13,无,542,76,165
ICD8e2RcV,又一处赏花地“红”了！城墙之下的映山红，这里是南京老门东#最南京，全民拍# 摄影：@卢晓天 卢晓天的微博视频  ,,无,无,无,2020-04-10 07:49,微博视频号,119,27,35
ICzxpsPTn,南京高淳青山茶场曾是电视剧《人民的名义》取景地。四月，青山山花满山香，穿梭山涧，花香四溢摄/@南京-老张 #最南京，全民拍#  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62gy1gdnw890gh3j20u00u0aev.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdnw8a7owrj20u00u0tew.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdnw8awkhfj20u00u0443.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdnw8bpoyij20u00u0tet.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdnw8caobwj20u00u0tfy.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdnw8cukzdj20u00u044o.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdnw8dcykoj20u00u043f.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdnw8e4jt2j20u00u0teo.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdnw8evfzvj20u00u0wjs.jpg",无,无,2020-04-09 22:40,无,163,15,30
ICzjh3YKp,【国士无双！#纪录片钟南山完整版#】“我想来想去，只不过还是个医生。”@广东卫视 纪录片《钟南山》，珍贵影像揭秘，告诉你一位完整、真实的钟南山。戳视频↓广东卫视的微博视频  ,,无,无,无,2020-04-09 22:05,微博视频号,91,37,9
ICytUdY5V,#韶韶# 你们宿舍的群聊名称是什么？康康谁的最有才 #当代寝室群名乱入大赏#  原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62gy1gdnrkfednrj20go0go74z.jpg,无,无,2020-04-09 19:58,无,152,3,184
ICy6fnZaw,【千万优惠大集结！这里有#暖春复工礼#】度假区湖景房免单住、龙虾烧烤免费享、海鲜自助吃到饱……戳http://t.cn/A6whBnUV 更多复工福利等你来抢！转发此博，5月10日抽1人送总价值5500元全套免单礼一份#城邀你来# @新浪江苏  [组图共6张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62ly1gdnpykpemfj20yi1pc7sw.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gdnpylcvxvj20yi1pcqqv.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gdnpym3gqqj20yi1pce3l.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gdnpyk96izj20yi1pcazq.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gdnpymok4zj20yi1pctuq.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gdnpyne2wej20yi1pcx5o.jpg",无,无,2020-04-09 19:00,无,193,1081,459
ICxI9oK5i,音乐台的春，紫藤花开，绿意渐浓。摄：张健   #最南京，全民拍#  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62gy1gdmddnnwvlj21900u0h69.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmddnzflnj21900u01ha.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdmddnszkgj21900u0nhu.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdmddnw364j21900u0e6g.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmddo6hk8j21900u04pk.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdmddo6q41j21900u04n4.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdmddo370rj21900u0tyb.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdmddofqs7j21900u0nn2.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdmddofuljj21900u0nl3.jpg",无,无,2020-04-09 18:01,微博 weibo.com,111,22,14
ICxrIfwW8,【江苏省确定2020年普通高考时间 】根据教育部2020年全国高考时间安排，2020年江苏普通高校招生语文、数学、外语科目考试安排在7月7日至8日举行，普通高中学业水平测试选修科目考试安排在7月9日举行。  原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gdnmzuwpkwj20gq0a3n0n.jpg,无,无,2020-04-09 17:20,无,60,119,23
ICxhhosGC,【这首歌，送给“战疫”中的每个人】“阳光终将会驱散阴霾，别怕孤单，家一直在。”这场没有硝烟的“战疫”中，希望与爱，从未离开！演唱：@蔡徐坤 央视新闻的微博视频  ,,无,无,无,2020-04-09 16:54,微博视频号,54,11,9
ICwJEal5A,【春到金陵，美如画】南京的春天与花有着奇妙的缘分，粉色的梅花、樱花、海棠、桃花；红色的郁金香、杜鹃花；黄色的油菜花、木香花；紫色的紫藤、二月兰；白色的白玉兰、梨花，共同描绘出这幅彩色的画卷。紫金山视频的秒拍视频  ,,无,无,无,2020-04-09 15:32,微博视频号,56,470,22
ICwlvt4o0,【#琴键上的战疫时间线#】著名钢琴家@李云迪YUNDI 改编并演奏的一曲《我爱你中国》，记录了这场你我拼了命的战“疫”。http://t.cn/A6wv9Nkj  ,,无,无,无,2020-04-09 14:32,微博视频号,28,11,3
ICvVFBnKt,"【不胜不归！#江苏仍有354名医疗队员坚守武汉#】#武汉解封#了，江苏仍有两支医疗队，354名队员坚守武汉。其中，江苏省人民医院重症医疗队接管金银潭医院全部3个危重症病区；奋战67天的第三批江苏援武汉医疗队""决战""武汉肺科医院。江苏最强重症医学骨干，以全力救治每一位患者JSTV荔枝视频的秒拍视频  ",,无,无,无,2020-04-09 13:28,微博视频号,155,32,14
ICvzZ8xiZ,中 国 医 护 图 鉴真的太可爱了，谢谢你们。来源：人类行为图鉴 思想聚焦的微博视频  ,,无,无,无,2020-04-09 12:35,微博视频号,152,40,19
ICv6pz5cS,【#部分知名餐饮企业涨价# 你能接受吗？】快餐、火锅、奶茶……最近，有网友发现，一些餐饮企业在复工后涨价了。有人表示可以接受，但也有人说涨价后就不会去吃了。你怎么看？ 部分知名餐饮企业涨价，你怎么看？  ,,无,无,无,2020-04-09 11:22,微博 weibo.com,2821,10,82
ICuwdjk2X,【35米长“拉链”合齿！南京长江五桥南边跨合龙】将于今年底通车的南京长江五桥建设有了新进展。4月8日凌晨，随着一道35米长、10厘米宽的巨型“拉链”合齿，南京长江五桥南边跨合龙，从江心洲岛到长江主江一侧的引桥与主桥至此打通。来源：@扬子晚报 扬子晚报的微博视频  ,,无,无,无,2020-04-09 09:53,微博视频号,111,24,27
ICtDI6fbP,【南京红墙合集】想找故宫同款红墙？@游戈昊 帮大家整理了：1⃣️鼓楼公园；2⃣️朝天宫；3⃣️明故宫；4⃣️南京博物院；5⃣️陵园邮局；6⃣️明孝陵；7⃣️灵谷寺趁着春光盎然，拍照走起！#最南京，全民拍#  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62ly1gdn63pw648j20zk1hcgz5.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gdn63qi30dj20zk1hbdx7.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gdn63rd3ixj20zk1hc4pr.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gdn63s2owvj20zk1hcaxd.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gdn63sg1b6j20zk0n9wns.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gdn63sy4xej20zk1lnqlz.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gdn63tbqn0j20zk0npwmr.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gdn63ttaq5j20zk1bc7lr.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gdn63ug9p2j20zk1hce1o.jpg",无,无,2020-04-09 07:39,无,187,41,38
ICpsi8z2s,金陵四十八景之一：牛首烟岚～摄影：@孙公甫 孙公甫的微博视频  ,,无,无,无,2020-04-08 21:00,微博视频号,142,50,25
ICp3Vzt2Y,春天来了，猫都开始做卷腹了。。。你呢？最走心的视频的秒拍视频  ,,无,无,无,2020-04-08 20:00,微博视频号,319,111,98
IColhad0k,山中人不见，云去夕阳过。摄影：@南京-老张 #最南京，全民拍# 南京发布的微博视频  ,,无,无,无,2020-04-08 18:10,微博视频号,85,9,5
ICnXZ40ZM,【致2020届高校毕业生的一封信】亲爱的同学们：一场突如其来的新冠肺炎疫情，打乱了正常的经济社会秩序，也影响了你们的求职就业计划。在这历经艰辛却充满希望的春天里，创新名城、美丽古都南京向青春的你们发出最诚挚的邀请！ 致2020届高校毕业生的一封信  ,,无,无,无,2020-04-08 17:12,微博 weibo.com,86,422,49
ICnHgtSmr,【南京落户门槛再放宽！】今天，市委市政府发布《关于支持促进高校毕业生在宁就业创业十项措施》，包括放宽落户门槛、保障人才安居、拓宽就业渠道……其中，符合以下条件之一即可落户：①研究生及以上学历、45周岁以下本科学历人员，②40周岁以下大专学历人员，在宁就业参保半年。详戳↓↓#南京新闻发布#  http://t.cn/A6Zs3Dc8 ,,无,无,无,2020-04-08 16:31,微博 weibo.com,1356,106,489
ICnhV5apd,南京部分高校全景图，来认领有没有你的母校！摄影@毛毛熊tinybear @PhotographerCookie  [组图共17张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr79yvij20c81tw4fz.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdmeqsg84uj20c80p9dr7.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdmcr7de0zj20c810mwou.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdmcr7h2erj20c81bmtkg.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr7nh1qj20c8131qd2.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr7hhiij20c81krqh6.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr7ltmbj20c82ekay6.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdmcr7rlnoj20c82uz4qp.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr82f3zj20j614y1kx.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr7siuyj20j60k4tkm.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr7usrvj20j60w5qo2.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdmcr7x26wj20j60nhwt7.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdmcr7xj0fj20j613q4ng.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr80f93j20j60sqtq5.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdmcr85v4vj20j60nxdu8.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdmcr87jl6j20j60skdxj.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdmcr87e5cj20j60opk4z.jpg",无,无,2020-04-08 15:29,微博 weibo.com,161,51,51
ICmPx50Eo,"【2025年前，江苏将建13座过江通道】近日，国家发改委发布《长江干线过江通道布局规划(2020-2035年)》,2025年前，重点推动实施79座过江通道，其中江苏13座：锦文路过江通道、南京地铁4号线过江通道、南京市域快速轨道过江通道、南京上元门过江通道、南京七乡河过江通道、龙潭长江大桥、宁仪城际铁路过江通道、润扬第二过江通道、江阴第二过江通道、江阴第三过江通道、张皋过江通道、苏通第二过江通道、海太过江通道。有你家附近的不？ http://t.cn/A6ZsxxD5 ",,无,无,无,2020-04-08 14:19,微博 weibo.com,129,47,61
ICmivjDPe,阳光照射下的水榭，蓝蓝的湖水，真像一颗蓝宝石镶嵌在大地之上。摄影：@八月水牯牛 #最南京，全民拍#  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62gy1gdm9rrvlpmj20j60csdi6.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdm9rrrmxhj20j60cr778.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdm9rrqpepj20j60csgni.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdm9rrq3v1j20j60csac7.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdm9rrtuavj20j60sr0yz.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gdm9rrrazij20j60csq5g.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gdm9rrr8twj20j60csdhk.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gdm9rrvvshj20j60cstbc.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gdm9rrw8mvj20j60csdhw.jpg",无,无,2020-04-08 12:57,微博 weibo.com,107,34,18
IClIbogcL,【无人机巡逻发现工地起火  高空喊话工人及时到场扑灭】江北新区一个正在建设的商务楼顶上堆放的安全网被点燃，正巧遇上无人机巡逻，警务站民警高空喊话通知工人到场扑救，很快就将明火扑灭@南京江北新区发布 南京江北新区发布的微博视频  ,,无,无,无,2020-04-08 11:28,微博视频号,155,14,18
IClj7qxxG,武汉，好久不见！大家带特产来迎接你了！注注注意有个拖家带口的 绘画：@那那手绘  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62ly1gdm5epoqrxj216s0u07s5.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gdm5eon5taj20u01qgtru.jpg",无,无,2020-04-08 10:26,无,473,196,131
ICkXYyaK3,【南京市青少年宫，样子出来了！】昨天，南京市青少年宫迁建项目雏形初现，进入扫尾阶段。青少年宫位于马台街与童家巷交叉口，分地下四层、地上五层，总建筑面积约6.5万平方米，将一改原来以培训为主的模式，变身为更加重视体验、充满科技含量的智慧宫殿。话说这个地方有你的回忆吗？  原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62ly1gdm3wctotgj20m80fsdi9.jpg,无,无,2020-04-08 09:34,无,209,29,48
ICklG0JTw,【#武汉灯光秀打出所有支援省区市名字# 泪目】武汉用这种方式，告诉大家，会永远记得这份恩情！央视新闻的微博视频  ,,无,无,无,2020-04-08 08:00,微博视频号,116,15,5
ICk2p54eB,今天，#陪武汉醒来#。早安，转发说声#你好武汉#！  原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62ly1gdlzsxdur7j20o617fwjl.jpg,无,无,2020-04-08 07:12,无,115,31,25
ICgJNjmsl,你有拍今晚的“超级月亮”吗？来晒！  ,,无,无,无,2020-04-07 22:48,无,120,7,83
ICgkiFWsu,【又一批！南京高校开学时间】①东南大学：4月19日起实行分期分批错峰报到。②东南大学成贤学院：4月21日起实行分期分批错峰报到。③南京体育学院：4月17日起错峰有序开学。④江苏警官学院：4月15日、16日分期分批、错时错峰开学。⑤南京工程学院：4月18日起安排分批错峰有序返校。⑥南京医科大学：4月13日-4月14日分期分批、错时错峰开学。⑦南京铁道职业技术学院：4月23日起分批有序返校。⑧南京交通职业技术学院：4月18日（周六）起分期分批、错时错峰返校。 原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62ly1gdljf3393ij20dv0860t4.jpg,无,无,2020-04-07 21:45,无,98,34,123
ICgaAbD0P,崇正书院的夜～摄：@ONEVISION十一步  #最南京，全民拍#  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62ly1gdliq4mrctj209r0eq3zs.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gdliq4cm72j209x0eg0tr.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gdliq4vlanj209t0emjsv.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gdliq57nz7j209t0eqgn2.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gdliq5otfrj209u0ekwh3.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gdliq60fcvj209v0emdhn.jpg",无,无,2020-04-07 21:21,无,139,36,26
ICfDM21Yj,周深《相思+秦淮景》 遇上 中国唱诗班《相思》“最肯忘却古人诗，最不屑一顾是相思”惊艳！来源b站：Cersminy   当时我就震惊了的微博视频  ,,无,无,无,2020-04-07 20:00,微博视频号,717,241,131
